127.0.0.1 - - [15/Nov/2018:12:18:11 -0600] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:18:27 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:18:29 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:18:30 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:33:00 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:33:01 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:33:01 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:35:40 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:38:49 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:41:46 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:41:50 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:42:04 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:42:27 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:42:41 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:50:30 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:50:32 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:52:22 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:52:30 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:12:58:29 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:03:48 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:04:53 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:06:46 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:08:53 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:09:26 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:09:38 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:20:58 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:26:21 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:26:35 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:27:24 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:27:41 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:29:42 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:29:43 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:29:43 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:40:37 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:43:08 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:53:00 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:13:53:02 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [15/Nov/2018:14:04:19 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
