127.0.0.1 - - [12/Nov/2018:12:51:10 -0600] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [12/Nov/2018:12:51:44 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:12:51:45 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [12/Nov/2018:12:51:46 -0600] "GET /Project1/admin HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [12/Nov/2018:12:57:57 -0600] "GET /Project1/admin HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [12/Nov/2018:12:59:33 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:04:31 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:07:04 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:08:10 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:09:12 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:09:49 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:18:22 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:25:18 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:26:31 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:26:55 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:27:16 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:28:14 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:33:42 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:36:45 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:36:57 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:37:19 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:37:28 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:37:31 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:37:50 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Nov/2018:13:38:40 -0600] "GET /Project1/admin HTTP/1.1" 200 1953
