0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:10:07 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:13:04 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:38:10 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:38:11 -0600] "POST /Project1/welcome/login HTTP/1.1" 211 155
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:38:12 -0600] "GET /Project1/home HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:39:06 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:39:07 -0600] "POST /Project1/welcome/login HTTP/1.1" 500 4
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:39:25 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:39:26 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:39:27 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:41:20 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:41:23 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:42:12 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:42:27 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:51:13 -0600] "GET /Project1/admin HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:57:27 -0600] "OPTIONS /Project1/admin/approve HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:57:28 -0600] "POST /Project1/admin/approve HTTP/1.1" 201 5557
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:57:41 -0600] "GET /Project1/admin HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:58:11 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:58:53 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:15:59:54 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:00:13 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:01:06 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:01:31 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:02:06 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:02:21 -0600] "GET /Project1/home HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:03:02 -0600] "OPTIONS /Project1/home/createReimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:03:03 -0600] "POST /Project1/home/createReimbursement HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:03:04 -0600] "GET /Project1/home HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:03:17 -0600] "OPTIONS /Project1/home/createReimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:03:18 -0600] "POST /Project1/home/createReimbursement HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:03:19 -0600] "GET /Project1/home HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:03:26 -0600] "GET /Project1/admin HTTP/1.1" 200 5951
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:05:08 -0600] "GET /Project1/admin HTTP/1.1" 200 5951
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:05:17 -0600] "OPTIONS /Project1/home/createReimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:05:18 -0600] "POST /Project1/home/createReimbursement HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:05:19 -0600] "GET /Project1/admin HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:05:34 -0600] "GET /Project1/home HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:06:46 -0600] "GET /Project1/home HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:06:54 -0600] "GET /Project1/home HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:07:16 -0600] "GET /Project1/home HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:07:22 -0600] "OPTIONS /Project1/home/createReimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:07:23 -0600] "POST /Project1/home/createReimbursement HTTP/1.1" 201 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:07:23 -0600] "GET /Project1/home HTTP/1.1" 200 3423
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:11:45 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:26:27 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:27:38 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:27:45 -0600] "OPTIONS /Project1/welcome/logoff HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:27:45 -0600] "GET /Project1/welcome/logoff HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:27:45 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:27:50 -0600] "OPTIONS /Project1/welcome/logoff HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:27:50 -0600] "GET /Project1/welcome/logoff HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:27:50 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:28:06 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:28:07 -0600] "OPTIONS /Project1/welcome/logoff HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:28:07 -0600] "GET /Project1/welcome/logoff HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:28:12 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:28:38 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:28:39 -0600] "OPTIONS /Project1/welcome/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:28:39 -0600] "GET /Project1/welcome/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:28:43 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:02 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:03 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:03 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:09 -0600] "OPTIONS /Project1/welcome/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:09 -0600] "GET /Project1/welcome/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:55 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:56 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:57 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:57 -0600] "OPTIONS /Project1/welcome/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:29:57 -0600] "GET /Project1/welcome/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:02 -0600] "GET /Project1/home HTTP/1.1" 200 3423
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:13 -0600] "OPTIONS /Project1/welcome/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:13 -0600] "GET /Project1/welcome/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:32 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:33 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:33 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:34 -0600] "OPTIONS /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:34 -0600] "GET /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:40 -0600] "GET /Project1/admin HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:30:47 -0600] "GET /Project1/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:32:56 -0600] "GET /Project1/home HTTP/1.1" 404 -
